"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"C1qb",0,1.98496205154634,0.988,0.521,0,"0","C1qb"
"C1qc",1.58101006669199e-322,1.77013627893121,0.978,0.443,2.6470851546624e-318,"0","C1qc"
"H2-Eb1",1.7515401202596e-311,2.06065831258389,0.978,0.675,2.93260362335064e-307,"0","H2-Eb1"
"C1qa",1.99073461381148e-309,1.78480287267289,0.981,0.528,3.33308696390456e-305,"0","C1qa"
"Cd72",5.37402123702817e-288,1.79416370184001,0.901,0.306,8.99772375715627e-284,"0","Cd72"
"Cd74",6.12538353641342e-285,1.80496035846009,0.996,0.919,1.0255729655017e-280,"0","Cd74"
"H2-Ab1",2.16588461459821e-277,1.77575599023175,0.991,0.741,3.62634061022179e-273,"0","H2-Ab1"
"H2-Aa",1.88645407122002e-274,1.76865535586186,0.985,0.724,3.15849005144368e-270,"0","H2-Aa"
"Ms4a7",2.47664501580517e-266,1.70393069656505,0.954,0.394,4.1466467499626e-262,"0","Ms4a7"
"Tmem176b",8.3203339556902e-261,1.45780670113566,0.866,0.392,1.39307351420121e-256,"0","Tmem176b"
"Rgs10",1.10365908652329e-255,1.15315560600352,0.941,0.57,1.84785640856595e-251,"0","Rgs10"
"Slamf9",2.61367443103664e-249,1.33699883646768,0.885,0.37,4.37607509988464e-245,"0","Slamf9"
"Cd81",1.05691886805394e-244,1.5461780475832,0.642,0.248,1.76959926078271e-240,"0","Cd81"
"Tmem176a",4.08453403093749e-219,1.4322608564007,0.802,0.341,6.83873532799863e-215,"0","Tmem176a"
"Hexb",1.88066218182615e-216,1.22039520672567,0.989,0.701,3.14879269103152e-212,"0","Hexb"
"Cxcl16",6.1227918532757e-197,1.11120718276321,0.971,0.46,1.02513903999395e-192,"0","Cxcl16"
"H2-DMb1",2.00871847775319e-176,1.06101392641436,0.93,0.578,3.36319734730217e-172,"0","H2-DMb1"
"Aif1",1.02362777317403e-163,1.07121366959246,0.984,0.66,1.71385998062528e-159,"0","Aif1"
"Ctsh",4.98636273021144e-156,0.775968225940598,0.989,0.851,8.34866711919301e-152,"0","Ctsh"
"Rplp1",3.7809564597332e-154,0.479469296370335,0.998,0.977,6.3304554005313e-150,"0","Rplp1"
"H2-DMa",1.0104011462135e-150,0.837121348386457,0.954,0.711,1.69171463910527e-146,"0","H2-DMa"
"Rps20",2.79482922011366e-148,0.576140811370084,0.998,0.948,4.6793825632363e-144,"0","Rps20"
"Adgre1",8.02668397995172e-145,0.965555826532428,0.951,0.65,1.34390769876332e-140,"0","Adgre1"
"Itm2b",1.26391287966361e-142,0.769675558399428,1,0.976,2.11616933442079e-138,"0","Itm2b"
"Pltp",8.10865877238596e-142,1.09056965241463,0.858,0.416,1.35763273826058e-137,"0","Pltp"
"Ckb",5.32777905445875e-140,1.0356989441174,0.856,0.423,8.92030047088028e-136,"0","Ckb"
"Itgb5",4.12136831573288e-136,0.856799890470944,0.863,0.455,6.90040697103156e-132,"0","Itgb5"
"Basp1",3.22421719566341e-134,0.976463520233946,0.924,0.444,5.39830685069925e-130,"0","Basp1"
"Ly86",2.32591662550851e-133,0.793850640989246,0.978,0.701,3.89428220608891e-129,"0","Ly86"
"Rpl12",6.25239749019697e-133,0.553256276447437,0.993,0.9,1.04683891178368e-128,"0","Rpl12"
"Rgs1",3.71393356046862e-132,1.50398551174461,0.842,0.435,6.21823896029261e-128,"0","Rgs1"
"Apoe",9.99485955498013e-127,1.38141976843888,0.984,0.918,1.67343933529032e-122,"0","Apoe"
"Cx3cr1",4.06840700988109e-123,0.870852123523917,0.772,0.4,6.8117338566439e-119,"0","Cx3cr1"
"Ntpcr",5.95819965918158e-123,0.740195012519041,0.637,0.256,9.97581368936772e-119,"0","Ntpcr"
"Selenop",1.05364880918675e-118,0.792257001526947,0.934,0.694,1.76412420122137e-114,"0","Selenop"
"Cst3",3.41222819135539e-116,0.443424761500098,0.998,0.972,5.71309366078633e-112,"0","Cst3"
"Snx5",3.88294595254023e-116,0.735475912424461,0.94,0.632,6.50121640833811e-112,"0","Snx5"
"Rps29",1.71022553496413e-114,0.435230236326051,0.999,0.981,2.86343061319044e-110,"0","Rps29"
"Rps4x",4.29748068233694e-114,0.389225622399845,0.995,0.932,7.19527190643674e-110,"0","Rps4x"
"Rps12",2.70650569661435e-111,0.458410514693536,0.999,0.968,4.5315024878414e-107,"0","Rps12"
"Rpl39",1.2924298384212e-103,0.330961180258297,0.999,0.94,2.16391527846861e-99,"0","Rpl39"
"Rpl23",2.96909045751371e-103,0.351777646450619,1,0.979,4.9711481530152e-99,"0","Rpl23"
"Ptms",2.88176054222575e-102,0.516383078760907,0.945,0.656,4.82493167584858e-98,"0","Ptms"
"Pea15a",2.95633259074652e-102,0.663293287999658,0.697,0.319,4.94978765668689e-98,"0","Pea15a"
"Rpl3",4.41133084216255e-102,0.461137677671056,0.994,0.903,7.38589122903277e-98,"0","Rpl3"
"Zmynd15",1.46907798355823e-100,0.76013155087885,0.485,0.126,2.45967726787155e-96,"0","Zmynd15"
"C3ar1",1.16588088202635e-99,0.792901768825108,0.91,0.354,1.95203436077673e-95,"0","C3ar1"
"F11r",1.35758803033358e-99,0.630637148377124,0.726,0.35,2.27300963918752e-95,"0","F11r"
"Rps24",1.42665399621733e-99,0.366212784060412,0.998,0.978,2.38864678586668e-95,"0","Rps24"
"Rpl32",1.05775332134151e-96,0.37155679917404,0.997,0.943,1.77099638592208e-92,"0","Rpl32"
"Itga9",8.53455410743952e-95,0.53991613257269,0.424,0.08,1.4289403942086e-90,"0","Itga9"
"Cadm1",1.82355813752395e-94,0.581619011888976,0.31,0.052,3.05318338965635e-90,"0","Cadm1"
"Rpl36a",3.38843037023249e-94,0.417358423312325,0.978,0.864,5.67324896888025e-90,"0","Rpl36a"
"Rps5",4.0159219431622e-94,0.35942624089886,0.997,0.935,6.72385810943647e-90,"0","Rps5"
"Lacc1",1.5621094288351e-93,0.720446194205725,0.727,0.297,2.61543981669861e-89,"0","Lacc1"
"Tgfbr1",9.41492925195402e-92,0.601718383805092,0.734,0.444,1.57634160465466e-87,"0","Tgfbr1"
"Tmem119",2.98491252201887e-91,0.632800910329916,0.402,0.08,4.9976390356162e-87,"0","Tmem119"
"Cd300c2",5.30769620873251e-90,0.525986761359334,0.964,0.785,8.88667576228084e-86,"0","Cd300c2"
"Rpl10a",1.42521839545735e-89,0.427433759132064,0.989,0.894,2.38624315951425e-85,"0","Rpl10a"
"Clec4a2",1.53706250079145e-89,0.774450882281609,0.847,0.542,2.57350374507512e-85,"0","Clec4a2"
"Eef1a1",6.97910608080527e-89,0.306064314848748,0.999,0.975,1.16851173110923e-84,"0","Eef1a1"
"Rps21",8.00525260761976e-88,0.350910455688508,0.999,0.963,1.34031944409378e-83,"0","Rps21"
"Acp5",2.73738549401131e-87,0.916383092560123,0.585,0.294,4.58320453262313e-83,"0","Acp5"
"Rpl18a",5.00688182520706e-87,0.326926208867721,1,0.961,8.38302223994418e-83,"0","Rpl18a"
"Fos",5.34047076890443e-87,1.10350493539929,0.99,0.907,8.94155020837668e-83,"0","Fos"
"Ctss",1.49405034375075e-86,0.576345870781036,1,0.96,2.50148849054189e-82,"0","Ctss"
"Fosb",2.95923534022295e-86,0.593452415061186,0.979,0.787,4.95464773013528e-82,"0","Fosb"
"Jun",7.21611471618916e-85,1.30282407742762,0.745,0.531,1.20819408693155e-80,"0","Jun"
"Blnk",3.24727717081708e-84,0.589404478876672,0.483,0.127,5.43691616709903e-80,"0","Blnk"
"Ctsc",1.98127874923334e-83,0.550672836848118,0.997,0.861,3.31725500984138e-79,"0","Ctsc"
"Rpl35",9.86112642954445e-81,0.431222646976621,0.984,0.879,1.65104839809863e-76,"0","Rpl35"
"Cd83",3.11868691439651e-80,0.713505488928654,0.856,0.63,5.22161750077407e-76,"0","Cd83"
"Rps8",3.24677517571798e-80,0.324550936311932,1,0.975,5.43607567670461e-76,"0","Rps8"
"Rpl14",3.31851902329987e-80,0.338214355865762,0.992,0.898,5.55619640071097e-76,"0","Rpl14"
"Ppfia4",4.22457755109372e-80,0.584006179501526,0.608,0.294,7.07321019379622e-76,"0","Ppfia4"
"Pmepa1",5.16627089244929e-79,0.742926549115226,0.53,0.243,8.64988735522785e-75,"0","Pmepa1"
"Cebpa",7.58163154713309e-79,0.58028069867227,0.727,0.43,1.26939256993649e-74,"0","Cebpa"
"Tm6sf1",1.05535046289539e-78,0.539542942129196,0.928,0.737,1.76697328002576e-74,"0","Tm6sf1"
"Cttnbp2nl",3.14771265144751e-78,0.535121568187523,0.65,0.305,5.27021529231857e-74,"0","Cttnbp2nl"
"Rpl13",3.48722212345671e-78,0.262174266112955,1,0.961,5.83865600130357e-74,"0","Rpl13"
"Unc93b1",3.64134670244831e-78,0.579470186065641,0.974,0.814,6.0967067839092e-74,"0","Unc93b1"
"Rps18",3.41692381143949e-76,0.274389405353762,0.988,0.899,5.72095553749314e-72,"0","Rps18"
"Rpl26",4.92772818983262e-76,0.299512473858777,0.997,0.95,8.25049530823675e-72,"0","Rpl26"
"Arrb2",1.2081818100717e-75,0.58146169851109,0.828,0.486,2.02285880460304e-71,"0","Arrb2"
"Rpl21",6.37141203694434e-75,0.270327351430725,0.99,0.935,1.06676551734559e-70,"0","Rpl21"
"Rps15",9.59914699380889e-75,0.30164581447534,0.999,0.939,1.60718518117342e-70,"0","Rps15"
"Rpl11",7.69738704643992e-74,0.308204073933549,0.998,0.95,1.28877351318544e-69,"0","Rpl11"
"Rpl10",2.33864386485153e-73,0.301012396963762,0.985,0.915,3.91559142292091e-69,"0","Rpl10"
"Zfhx3",7.68649767579018e-73,0.571122834798351,0.676,0.336,1.28695030585755e-68,"0","Zfhx3"
"Rpl27a",1.21655496864184e-72,0.310807612678283,0.998,0.972,2.03687798399704e-68,"0","Rpl27a"
"Rpl22",4.01872380010943e-72,0.310142009491796,0.991,0.911,6.72854925852322e-68,"0","Rpl22"
"Rps2",4.59683077182303e-72,0.343674766488364,0.99,0.919,7.6964737612633e-68,"0","Rps2"
"Bcl2a1b",1.61134963160473e-71,0.479610521814318,0.911,0.641,2.69788268819579e-67,"0","Bcl2a1b"
"Olfml3",2.19872858528582e-71,0.604788910691803,0.478,0.135,3.68133127034405e-67,"0","Olfml3"
"Creb5",6.26556316650378e-71,0.600689079534571,0.72,0.363,1.04904324096773e-66,"0","Creb5"
"Lgmn",9.61262185203493e-71,0.477422606111103,0.993,0.78,1.60944127668621e-66,"0","Lgmn"
"Itga6",2.91135539334784e-69,0.561788355595172,0.523,0.163,4.87448233508229e-65,"0","Itga6"
"Serinc3",8.60835484398127e-69,0.469204047303394,0.981,0.879,1.44129685152778e-64,"0","Serinc3"
"Gatm",1.01699778800871e-68,0.795480419263825,0.832,0.343,1.70275939646298e-64,"0","Gatm"
"Rpl35a",1.15063487132049e-68,0.257929110345397,0.998,0.976,1.9265079650519e-64,"0","Rpl35a"
"Hpgds",2.01791999717028e-68,0.59045321926714,0.504,0.146,3.37860345126221e-64,"0","Hpgds"
"Ciita",2.08348517707699e-68,0.557641665903681,0.527,0.199,3.48837923198001e-64,"0","Ciita"
"Trem2",2.02854774843448e-67,0.778046502076259,0.797,0.428,3.39639749520384e-63,"0","Trem2"
"Rack1",3.10740601235349e-67,0.291687002408005,0.997,0.929,5.20272988648345e-63,"0","Rack1"
"Rpl36",3.58162723040114e-67,0.272437981758688,0.99,0.913,5.99671847186063e-63,"0","Rpl36"
"Tmem37",4.60728282600759e-67,0.51293842300067,0.389,0.115,7.71397363558451e-63,"0","Tmem37"
"Mgl2",2.46970518486456e-66,0.767137741330609,0.259,0.065,4.13502739101873e-62,"0","Mgl2"
"Rpl30",3.60003993381696e-66,0.281778172822535,0.997,0.96,6.02754686118974e-62,"0","Rpl30"
"Rpl7a",1.43305301720728e-65,0.317750489254873,0.991,0.893,2.39936066671014e-61,"0","Rpl7a"
"Rpl5",1.6387279004217e-65,0.262985297694005,0.993,0.911,2.74372212367605e-61,"0","Rpl5"
"Rpl28",2.05822634939314e-65,0.262025173951007,0.997,0.945,3.44608837678893e-61,"0","Rpl28"
"Rps19",2.3938985799976e-65,0.275197908364942,0.999,0.937,4.00810439248997e-61,"0","Rps19"
"Camk1",3.31338866463382e-64,0.352185411732941,0.624,0.365,5.54760664119641e-60,"0","Camk1"
"Rpl6",2.88585676369031e-63,0.284453326586555,0.996,0.933,4.83178997944669e-59,"0","Rpl6"
"Axl",2.56323253188844e-62,0.279947860006982,0.794,0.46,4.29162022814081e-58,"0","Axl"
"P2ry6",3.25497300060268e-61,0.482042850574288,0.661,0.354,5.44980129490907e-57,"0","P2ry6"
"Pld4",4.12094132202281e-60,0.380938374584605,0.974,0.803,6.8996920554628e-56,"0","Pld4"
"Rps28",1.21082789781642e-59,0.303919920900608,0.999,0.945,2.02728914931404e-55,"0","Rps28"
"Ndufc2",1.88265035766786e-59,0.508657505082607,0.906,0.709,3.15212149384329e-55,"0","Ndufc2"
"Tnfsf13b",2.06021755826064e-59,0.395406832761037,0.321,0.091,3.44942225779579e-55,"0","Tnfsf13b"
"Atf3",8.98900795337997e-59,0.900336639025478,0.797,0.647,1.50502960163441e-54,"0","Atf3"
"Dab2",1.30499487597576e-58,0.475609629209458,0.762,0.408,2.18495292084621e-54,"0","Dab2"
"Rpl17",2.59307882726865e-58,0.268041953321272,0.993,0.963,4.3415918804959e-54,"0","Rpl17"
"Rpl15",6.50560673323009e-58,0.278196795769368,0.983,0.908,1.08923373534471e-53,"0","Rpl15"
"AW112010",1.53136119012652e-57,0.970584124683043,0.73,0.507,2.56395804062884e-53,"0","AW112010"
"Rps17",2.18743297173685e-57,0.341981382825058,0.988,0.902,3.66241902457901e-53,"0","Rps17"
"Bmyc",4.28164239777541e-57,0.369818808611514,0.4,0.174,7.16875386659536e-53,"0","Bmyc"
"Fgd2",1.66140258730162e-56,0.446642170275251,0.549,0.238,2.78168635191911e-52,"0","Fgd2"
"Wnk1",2.41438502653289e-56,0.471635416089071,0.955,0.757,4.04240484992402e-52,"0","Wnk1"
"Rps25",4.98558572798361e-56,0.288621095493712,0.996,0.954,8.34736618436297e-52,"0","Rps25"
"Pdlim4",1.20925712597465e-55,0.435438917465599,0.46,0.149,2.02465920601936e-51,"0","Pdlim4"
"Csf1r",2.127421191251e-55,0.368096955898683,0.971,0.797,3.56194130051154e-51,"0","Csf1r"
"Hexa",6.82420462466611e-55,0.377324641023192,0.95,0.784,1.14257658030785e-50,"0","Hexa"
"Frmd4b",7.79727737419538e-55,0.489016771853174,0.626,0.258,1.30549815076153e-50,"0","Frmd4b"
"Gpr65",1.18078461741435e-54,0.635307132354753,0.746,0.414,1.97698768493684e-50,"0","Gpr65"
"Scimp",3.65430340479262e-54,0.490480866501255,0.549,0.274,6.11840019064429e-50,"0","Scimp"
"Slc29a3",1.90391358542503e-53,0.54262923390253,0.673,0.344,3.18772251607713e-49,"0","Slc29a3"
"Dhrs3",2.2649923089476e-53,0.328227001311201,0.635,0.345,3.79227662287097e-49,"0","Dhrs3"
"Mafb",2.94648539167567e-53,0.694568662056007,0.934,0.607,4.93330049128258e-49,"0","Mafb"
"Cox7a2l",3.22174629460308e-53,0.297500508370309,0.921,0.766,5.39416982105394e-49,"0","Cox7a2l"
"Rab3il1",3.99455079752685e-53,0.45981612477644,0.552,0.215,6.68807640029921e-49,"0","Rab3il1"
"Trim47",7.36108862356822e-53,0.328519257402429,0.27,0.108,1.23246706824403e-48,"0","Trim47"
"Atp5g2",1.63920385048205e-52,0.353642454281272,0.951,0.811,2.7445190068621e-48,"0","Atp5g2"
"Rps26",1.87570307318696e-52,0.320171542889895,0.996,0.943,3.14048965543693e-48,"0","Rps26"
"Rpl19",2.13360955705589e-52,0.289399928398328,0.999,0.965,3.57230248137868e-48,"0","Rpl19"
"Gna12",3.78649326815936e-52,0.465494720174559,0.586,0.262,6.33972567887922e-48,"0","Gna12"
"Rpl31",6.1449051516773e-52,0.387718404345648,0.964,0.857,1.02884146954533e-47,"0","Rpl31"
"Rab7b",1.27079589524504e-51,0.556420067078915,0.812,0.466,2.12769356740876e-47,"0","Rab7b"
"Eef1d",1.3973613131266e-51,0.3016929183521,0.876,0.697,2.33960204656787e-47,"0","Eef1d"
"Lair1",3.05834683177745e-51,0.456983148299189,0.879,0.548,5.12059010044499e-47,"0","Lair1"
"Fcgr2b",3.28775598002769e-51,0.607311520471845,0.899,0.645,5.50468983736035e-47,"0","Fcgr2b"
"Jmjd1c",6.52375595965329e-51,0.47619218867536,0.865,0.614,1.09227246032475e-46,"0","Jmjd1c"
"Skil",1.14053433672805e-50,0.438970957703726,0.946,0.766,1.90959663998377e-46,"0","Skil"
"Ang",2.85722703631385e-50,0.415005057948285,0.403,0.17,4.78385522690029e-46,"0","Ang"
"Tnfaip8",1.33565172216262e-49,0.427476246166566,0.82,0.597,2.23628167841687e-45,"0","Tnfaip8"
"Clec4b1",2.2045925698324e-49,0.444530004736937,0.355,0.189,3.69114933967039e-45,"0","Clec4b1"
"Eef2",3.18732069629951e-49,0.274274946526638,0.978,0.885,5.33653104181427e-45,"0","Eef2"
"Npm1",3.5289027444795e-49,0.298929895515309,0.98,0.852,5.90844186508203e-45,"0","Npm1"
"Pdgfb",6.89149935817362e-49,0.368286458373938,0.33,0.11,1.15384373753901e-44,"0","Pdgfb"
"Ubb",8.08152232775619e-49,0.26315600750957,0.982,0.915,1.35308928333622e-44,"0","Ubb"
"Neurl3",1.12240266905176e-48,0.52936925720109,0.903,0.651,1.87923878879337e-44,"0","Neurl3"
"Herpud1",1.60963177473394e-48,0.446427603669172,0.485,0.357,2.69500648043703e-44,"0","Herpud1"
"Arhgap22",6.68694487029391e-48,0.289196856532417,0.251,0.06,1.11959517963331e-43,"0","Arhgap22"
"Zfp36",2.89084312444534e-47,0.621865239866575,0.99,0.922,4.84013864325883e-43,"0","Zfp36"
"Man2b1",3.69578819159052e-47,0.464448059681895,0.903,0.767,6.18785816918001e-43,"0","Man2b1"
"Fyb",6.27785008907437e-47,0.594323375363652,0.951,0.756,1.05110044041372e-42,"0","Fyb"
"Ccnd1",7.95704561861031e-47,0.618828965416149,0.577,0.24,1.33224814792392e-42,"0","Ccnd1"
"Pold4",1.36373961138381e-46,0.37320554130807,0.713,0.505,2.28330923133991e-42,"0","Pold4"
"Slamf7",3.10800085839197e-46,0.583099423390977,0.782,0.367,5.20372583720567e-42,"0","Slamf7"
"Socs3",5.10624890590798e-46,0.614330478492152,0.849,0.579,8.54939254316174e-42,"0","Socs3"
"Tgfbr2",1.35503192550308e-45,0.282703120699981,0.693,0.447,2.2687299528698e-41,"0","Tgfbr2"
"Clec12a",1.00175791137272e-44,0.624698762570425,0.902,0.705,1.67724327101135e-40,"0","Clec12a"
"Adap2",1.77223792752736e-44,0.404955652728749,0.555,0.251,2.96725796205905e-40,"0","Adap2"
"Timp2",4.94206846459761e-44,0.483485047895546,0.724,0.395,8.27450523027577e-40,"0","Timp2"
"Tubb5",5.81393117258952e-44,0.372470155682026,0.838,0.584,9.73426496226664e-40,"0","Tubb5"
"Atpif1",1.38945291770222e-43,0.354083410073775,0.884,0.693,2.32636102010883e-39,"0","Atpif1"
"Erp29",1.80380412643547e-43,0.337890897103188,0.962,0.829,3.02010924889091e-39,"0","Erp29"
"Rpl24",2.0271299334359e-43,0.282082068410099,1,0.938,3.39402364755173e-39,"0","Rpl24"
"Eid1",2.51836863292196e-43,0.42742394266291,0.7,0.424,4.21650460210123e-39,"0","Eid1"
"Itm2c",7.57750335294247e-43,0.359094383632775,0.85,0.617,1.26870138638316e-38,"0","Itm2c"
"Lpcat2",1.31064514481154e-42,0.494361044335601,0.79,0.466,2.19441316595796e-38,"0","Lpcat2"
"Ptpn18",1.56133911110741e-42,0.43989043504849,0.956,0.776,2.61415007372713e-38,"0","Ptpn18"
"Acvrl1",2.85129241757179e-42,0.374392318338165,0.549,0.304,4.77391889474044e-38,"0","Acvrl1"
"Ifi27",5.12294218186414e-42,0.369844881719307,0.554,0.313,8.57734209509513e-38,"0","Ifi27"
"Rtcb",1.46177226910563e-41,0.392450900905998,0.616,0.371,2.44744531016355e-37,"0","Rtcb"
"Pla2g15",2.55501788351518e-40,0.271060575216288,0.516,0.284,4.27786644236947e-36,"0","Pla2g15"
"Gpr183",3.39857453922351e-40,0.414009720802927,0.293,0.121,5.69023335102192e-36,"0","Gpr183"
"Cd86",7.11972373913703e-40,0.436186954390755,0.762,0.488,1.19205534564371e-35,"0","Cd86"
"Lat2",8.94531235079672e-40,0.433055622545562,0.754,0.433,1.49771364689389e-35,"0","Lat2"
"Ighm",2.64977808442041e-39,0.315874661282234,0.587,0.364,4.4365234467451e-35,"0","Ighm"
"Gdi2",5.5606608151066e-39,0.263970235575631,0.963,0.847,9.31021440273299e-35,"0","Gdi2"
"Otulinl",6.70111168857364e-39,0.285296185853122,0.777,0.58,1.12196713001788e-34,"0","Otulinl"
"Cebpzos",1.22486145251417e-38,0.349405140836938,0.459,0.227,2.05078552994448e-34,"0","Cebpzos"
"Ehd4",1.62717720043049e-38,0.37481978674376,0.847,0.634,2.72438278668077e-34,"0","Ehd4"
"Fcgr3",2.33837267930688e-38,0.391664959243891,0.928,0.759,3.91513737696351e-34,"0","Fcgr3"
"Batf3",5.70586075795802e-38,0.313118465086413,0.41,0.197,9.55332266704911e-34,"0","Batf3"
"Plekho1",3.29964568707704e-37,0.423844956316707,0.745,0.467,5.52459677387308e-33,"0","Plekho1"
"Cpq",4.96003277117479e-37,0.330109255027047,0.367,0.135,8.30458286877795e-33,"0","Cpq"
"Dpysl2",5.5817629252333e-37,0.342526243411114,0.705,0.476,9.34554566571811e-33,"0","Dpysl2"
"Myo1e",2.71880492894397e-36,0.348739389156264,0.442,0.206,4.55209509253089e-32,"0","Myo1e"
"Nenf",6.97852864269232e-36,0.2654919118951,0.524,0.31,1.16841505064598e-31,"0","Nenf"
"Rasgef1b",3.31711595454694e-35,0.365355559058578,0.616,0.377,5.55384724269794e-31,"0","Rasgef1b"
"Ccr5",7.13876424586621e-35,0.520205204402575,0.864,0.506,1.19524329768538e-30,"0","Ccr5"
"Gusb",9.11326164751252e-35,0.336163178002288,0.848,0.644,1.52583339764302e-30,"0","Gusb"
"Ubc",1.49684744961003e-34,0.422538247369577,0.99,0.943,2.50617168488207e-30,"0","Ubc"
"Epb41l2",1.51559366483239e-34,0.3853428670872,0.79,0.531,2.53755847302888e-30,"0","Epb41l2"
"Cyfip1",3.46466837172337e-34,0.39764895416538,0.902,0.689,5.80089425477644e-30,"0","Cyfip1"
"Gm34084",5.09421099525671e-34,0.505143926548428,0.415,0.16,8.5292374693583e-30,"0","Gm34084"
"Eva1b",8.40302920954374e-34,0.257883472023398,0.322,0.153,1.40691918055391e-29,"0","Eva1b"
"Egr1",1.17843368153155e-33,0.886459900342853,0.449,0.345,1.97305151298827e-29,"0","Egr1"
"Ccdc107",4.81210799011098e-33,0.264291729896736,0.377,0.173,8.05691240784281e-29,"0","Ccdc107"
"Tnfsf12",5.59062917502369e-32,0.305430509692541,0.515,0.301,9.36039042774216e-28,"0","Tnfsf12"
"Svbp",1.25330589303401e-31,0.331911128668284,0.625,0.393,2.09841005670684e-27,"0","Svbp"
"Fcer1g",1.55613809618851e-30,0.341277212981822,0.999,0.98,2.60544201444843e-26,"0","Fcer1g"
"Rnase4",1.57224351632284e-30,0.41738907837146,0.56,0.296,2.63240731937933e-26,"0","Rnase4"
"Abcc3",1.66426687529683e-30,0.34762019536776,0.383,0.131,2.78648202930949e-26,"0","Abcc3"
"Smim14",1.9441817104129e-30,0.280000937939635,0.75,0.582,3.25514343774431e-26,"0","Smim14"
"Fads1",2.27552203102542e-30,0.251232755232217,0.275,0.088,3.80990653654586e-26,"0","Fads1"
"Zfp36l1",2.56865864550406e-30,0.386415033183348,0.874,0.588,4.30070517016744e-26,"0","Zfp36l1"
"Tgfbi",4.0587642714651e-30,0.506790023594303,0.983,0.847,6.79558901971402e-26,"0","Tgfbi"
"Daglb",5.79573660927201e-30,0.333879467264697,0.566,0.34,9.70380180490412e-26,"0","Daglb"
"Siglece",7.76404964420445e-30,0.272837433312193,0.382,0.175,1.29993483192915e-25,"0","Siglece"
"Marcks",7.82948642974466e-30,0.408674018692487,0.97,0.779,1.31089091293215e-25,"0","Marcks"
"Atp13a2",2.47048249660125e-29,0.331703568950118,0.624,0.376,4.13632884405948e-25,"0","Atp13a2"
"Nmt1",5.69921143476383e-29,0.293737549270318,0.704,0.514,9.54218970522508e-25,"0","Nmt1"
"Lifr",2.00644339007547e-28,0.297522717132548,0.326,0.149,3.35938816800336e-24,"0","Lifr"
"Tcf4",2.50346251625771e-28,0.352312749319915,0.722,0.459,4.19154729097028e-24,"0","Tcf4"
"Extl3",3.15101356802273e-28,0.308802075499177,0.437,0.216,5.27574201694046e-24,"0","Extl3"
"H2az1",4.97215198349158e-28,0.289136941994291,0.75,0.631,8.32487406595995e-24,"0","H2az1"
"Swap70",5.8028171654809e-28,0.269103870591337,0.462,0.248,9.71565678016467e-24,"0","Swap70"
"Igbp1",1.11535895765948e-27,0.278071452334992,0.599,0.401,1.86744550280926e-23,"0","Igbp1"
"Cysltr1",2.85820126792889e-27,0.331187199688804,0.456,0.23,4.78548638289334e-23,"0","Cysltr1"
"Tubb2a",3.93735635958283e-27,0.300137355109915,0.462,0.272,6.59231575284954e-23,"0","Tubb2a"
"Igsf8",9.30469433428447e-27,0.265403645836057,0.504,0.289,1.55788497238925e-22,"0","Igsf8"
"Fnbp1l",1.27171485353865e-26,0.293837402955072,0.258,0.086,2.12923217927976e-22,"0","Fnbp1l"
"Parp1",2.30667570648346e-26,0.27786830011268,0.462,0.257,3.86206713536527e-22,"0","Parp1"
"Il21r",2.48353082631549e-26,0.327649595210587,0.491,0.223,4.15817566250003e-22,"0","Il21r"
"Vsir",3.14052453278197e-26,0.294616662138025,0.809,0.609,5.25818022523686e-22,"0","Vsir"
"Rrbp1",5.57963221560576e-26,0.315864121504129,0.96,0.838,9.34197821858872e-22,"0","Rrbp1"
"Fbrsl1",1.68066045539983e-25,0.280786079798135,0.398,0.215,2.81392980047593e-21,"0","Fbrsl1"
"Specc1l",2.7000802896414e-25,0.339054651192654,0.659,0.386,4.5207444289466e-21,"0","Specc1l"
"Plbd1",2.09800667727183e-24,0.289600249694362,0.932,0.719,3.51269257975623e-20,"0","Plbd1"
"Eif5b",4.66998148814193e-24,0.302535163189898,0.806,0.634,7.81895000559603e-20,"0","Eif5b"
"Gng2",5.62939859105032e-24,0.32782382226673,0.745,0.507,9.42530206099555e-20,"0","Gng2"
"Cited2",7.09424096849882e-24,0.530852133138892,0.64,0.412,1.18778876535576e-19,"0","Cited2"
"Klf6",8.23163428753399e-24,0.530838852124408,0.905,0.825,1.37822252876182e-19,"0","Klf6"
"Mrpl23",9.08724193005101e-24,0.272526513910123,0.724,0.536,1.52147691634844e-19,"0","Mrpl23"
"Sting1",1.72736670579778e-23,0.363433681096345,0.49,0.256,2.89213007551723e-19,"0","Sting1"
"Irf8",3.69779574503513e-23,0.308311075487561,0.848,0.638,6.19121941591232e-19,"0","Irf8"
"Bmp2k",6.94502669703817e-23,0.316329673997587,0.63,0.393,1.1628058198851e-18,"0","Bmp2k"
"P2ry14",1.03630200111337e-22,0.254584295261604,0.314,0.167,1.73508044046412e-18,"0","P2ry14"
"Cyth4",1.90636883199113e-22,0.287605733172289,0.894,0.734,3.19183333540274e-18,"0","Cyth4"
"Glipr1",3.98959884783335e-22,0.362358050417896,0.681,0.538,6.67978535092738e-18,"0","Glipr1"
"Kctd12",4.894983887351e-22,0.288976003136086,0.92,0.765,8.19567152259178e-18,"0","Kctd12"
