"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Foxn3",6.81225880147396e-74,1.01761596764092,0.777,0.516,1.14057649113079e-69,"2","Foxn3"
"Metrnl",6.12870758088149e-73,1.09852611316254,0.867,0.638,1.02612951026699e-68,"2","Metrnl"
"Rps27a",9.34344166146482e-73,0.47600588831638,1,0.982,1.56437243737905e-68,"2","Rps27a"
"Kras",9.41746879180027e-73,0.56539725905067,0.78,0.628,1.57676679981112e-68,"2","Kras"
"Cyp2ab1",1.22539608807553e-72,0.58126801452131,0.27,0.025,2.05168067026487e-68,"2","Cyp2ab1"
"Ankrd44",2.33004173365333e-72,0.838937736892735,0.784,0.536,3.90118887465577e-68,"2","Ankrd44"
"Nabp1",4.98224635140392e-71,0.706909424367712,0.748,0.485,8.34177506615558e-67,"2","Nabp1"
"Capzb",1.53607221463336e-69,0.495737156014726,0.972,0.913,2.57184570896063e-65,"2","Capzb"
"Cyba1",3.71326310812102e-69,0.27591239485935,0.999,0.976,6.21711642192702e-65,"2","Cyba"
"Rasa3",5.01570420347684e-69,0.697390036856118,0.592,0.326,8.39779354788127e-65,"2","Rasa3"
"Skint3",1.14647805577566e-68,0.898171854527489,0.422,0.089,1.91954820878519e-64,"2","Skint3"
"Pag1",1.19450742743872e-68,0.792418851035309,0.598,0.293,1.99996378576065e-64,"2","Pag1"
"Dock2",2.70389109019848e-68,0.616202318748945,0.813,0.647,4.52712485231932e-64,"2","Dock2"
"Pbxip1",4.70035916873721e-68,0.668617324209466,0.693,0.481,7.86981135621671e-64,"2","Pbxip1"
"Sik1",5.05509034508442e-68,0.606948525234748,0.674,0.48,8.46373776477485e-64,"2","Sik1"
"H2-Q6",8.56149288412194e-68,0.501705092339735,0.563,0.33,1.43345075358854e-63,"2","H2-Q6"
"Htra2",1.0751957912238e-67,0.737867484091215,0.51,0.259,1.80020031324601e-63,"2","Htra2"
"Ppm1h",1.11291616283475e-67,0.640595753964857,0.545,0.35,1.86335553143422e-63,"2","Ppm1h"
"Ltb",1.53708034532771e-67,0.567711140178063,0.373,0.073,2.57353362218218e-63,"2","Ltb"
"Ccnd3",2.30071695118e-66,0.970176731284431,0.754,0.41,3.85209039136067e-62,"2","Ccnd3"
"Nab1",7.32096015696729e-66,0.656887706416671,0.708,0.52,1.22574835908103e-61,"2","Nab1"
"Plagl2",1.0155136570414e-65,0.667249672747393,0.43,0.205,1.70027451598441e-61,"2","Plagl2"
