"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Phlda3",3.91540076720684e-66,0.475918629578277,0.419,0.145,6.53402080031478e-62
"Ndufs6",7.70921261976707e-134,0.475508194436557,0.932,0.625,1.28651340198673e-129
"Cd302",1.03588660290798e-110,0.474672455603108,0.762,0.391,1.72868756293285e-106
"Atp5c1",4.00886145612206e-133,0.473204426374854,0.929,0.618,6.68998799797649e-129
"Nme1",8.54828266862649e-119,0.472904309917013,0.767,0.39,1.42653741174039e-114
"Atp5j2",1.58868989656614e-145,0.472611826452795,0.985,0.815,2.65120569938957e-141
"Id2",5.56073120023254e-79,0.466934874157864,0.919,0.711,9.27974822694807e-75
"Psmb3",4.19730599986244e-130,0.466615517051619,0.943,0.656,7.00446425257044e-126
"Bst2",2.03770487048975e-88,0.465559927752974,0.662,0.303,3.4005218878733e-84
"Coa3",7.5190463203611e-120,0.461892837630303,0.885,0.556,1.25477844994186e-115
"Scd1",3.20415883773788e-78,0.459514354485771,0.995,0.937,5.34710026841697e-74
"Ndufa11",9.43236980786453e-122,0.458118665230614,0.907,0.593,1.57407387353643e-117
"Napsa",8.75253237870248e-141,0.457041997197768,0.998,0.961,1.46062260335787e-136
"Pfn1",9.46407410531921e-151,0.452993947886048,0.995,0.9,1.57936468669567e-146
"Cox7c",3.04031442968433e-142,0.449748310185043,0.989,0.834,5.07367672025722e-138
"Gpx1",5.07489596394885e-102,0.447555127223978,0.979,0.835,8.46898638463784e-98
"Ndufs8",2.273296687831e-112,0.447365479553085,0.834,0.48,3.79367751265237e-108
"Etfb",2.56771615689839e-114,0.447224577612308,0.956,0.754,4.28500472263204e-110
"Ndufb8",2.47652167886852e-121,0.447185974574911,0.929,0.652,4.13281937769579e-117
"Ly6e",2.47455789587402e-89,0.447138361914321,0.976,0.861,4.12954221663457e-85
"Ndufa3",2.68829477802887e-133,0.443426777084698,0.969,0.727,4.48622632557458e-129
"Cystm1",4.90460214674076e-123,0.44338358130411,0.988,0.815,8.18480006248098e-119
"Ndufa13",6.35045066631464e-143,0.443140018549916,0.991,0.848,1.05976320719459e-138
"Mif",1.147725902151e-103,0.442815137340519,0.888,0.587,1.9153249855096e-99
"Glrx",7.50215710969726e-94,0.441923000660694,0.787,0.46,1.25195997846628e-89
"Commd3",3.86824242059199e-102,0.441216649569973,0.746,0.369,6.45532295148391e-98
"Psmb6",1.37304795744352e-115,0.437492363323911,0.941,0.692,2.29134243138174e-111
"Ctsz",3.16724665949864e-101,0.437424375483206,0.916,0.672,5.28550122537133e-97
"Calr",5.8103358705262e-86,0.437251941515339,0.89,0.642,9.69628850073412e-82
"Atp5g2",1.15614187718498e-119,0.436515725278381,0.966,0.759,1.92936956464629e-115
"Smdt1",2.73861336303562e-120,0.431555613235418,0.96,0.738,4.57019798023384e-116
"Gpx4",2.33465628950362e-129,0.431363218862272,0.999,0.943,3.89607441592365e-125
"Cox6c",1.94996274147158e-147,0.431260296826396,0.995,0.925,3.25409782296777e-143
"Psmb4",1.61027132483946e-101,0.430767116239317,0.857,0.538,2.6872207868921e-97
"H2afj",3.68773859209769e-117,0.430622734128999,0.996,0.927,6.15409816249262e-113
"Psmb8",1.05513443798276e-91,0.429109960830536,0.779,0.425,1.76080835010564e-87
"Ndufab1",5.85126128270171e-111,0.429048058060913,0.887,0.564,9.76458482857261e-107
"Ndufa7",8.96015483567146e-132,0.427901475249185,0.985,0.801,1.49527063897685e-127
"Cxcl15",1.07611336852797e-56,0.427875067979594,0.996,0.975,1.79581798939948e-52
"Ndufa2",5.5478641109511e-119,0.426965881973648,0.979,0.788,9.25827562835519e-115
"Psmb2",7.13386916268848e-110,0.426362845294569,0.895,0.575,1.19050008586945e-105
"Uqcrc1",1.32725126273687e-103,0.423171413169771,0.844,0.517,2.2149169072553e-99
"Prdx1",1.49031731539579e-135,0.420186753506667,0.996,0.946,2.4870415359325e-131
"Tmem176a",2.51055822227586e-102,0.41892575361527,0.974,0.787,4.18961956133395e-98
"Slc25a5",7.69973412249567e-104,0.41884052841898,0.973,0.852,1.28493163036208e-99
"Tceb2",6.66098340987761e-122,0.418793846985235,0.986,0.796,1.11158491144038e-117
"Ndufb6",4.77354962233168e-103,0.418674305842499,0.853,0.518,7.96609960974711e-99
"Pfdn1",8.25980552722777e-108,0.417881570460346,0.87,0.527,1.37839634638377e-103
"Mydgf",2.09779756093203e-93,0.413324532633544,0.733,0.395,3.50080456968337e-89
"Psme2",7.91092247895123e-98,0.410240755016502,0.876,0.557,1.32017474328738e-93
"Ndufa8",9.75414411747442e-108,0.410034649920463,0.854,0.499,1.62777157032413e-103
"Fxyd4",9.97693653789648e-56,0.404554004942491,0.302,0.099,1.66495116944416e-51
"Atp5g3",1.75130744231495e-100,0.404188827353476,0.879,0.569,2.92258185973519e-96
