"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tmco1",7.90450513069323e-10,0.32811484484921,0.492,0.404,1.31910381621009e-05
"Nipbl",3.0211732489942e-15,0.328090444111343,0.301,0.182,5.04173391792152e-11
"Ubc",0.00588514635099739,0.327860948789957,0.948,0.972,1
"Stk25",1.29710567785082e-16,0.327714675418693,0.394,0.259,2.16460995519746e-12
"Laptm4b",1.68121446713238e-12,0.327616774957424,0.373,0.26,2.80561070275051e-08
"Mrps34",6.81233416219638e-13,0.32754948608904,0.48,0.372,1.13684232498733e-08
"Arhgap8",7.49303577729718e-23,0.327511274126621,0.25,0.123,1.25043781051535e-18
"Clptm1l",6.06562449418487e-18,0.327136550539559,0.404,0.259,1.01223141558957e-13
"Eif4g1",1.65480006766142e-12,0.327102579285412,0.46,0.352,2.76153035291337e-08
"Gadd45gip1",4.77802953079291e-14,0.326441820354682,0.451,0.333,7.97357568098721e-10
"Cnot7",7.91182344178688e-19,0.32636926668889,0.284,0.158,1.32032509596539e-14
"Znhit1",7.4556068137791e-12,0.325930377369202,0.491,0.393,1.24419166508346e-07
"Cnot4",6.59646774579552e-15,0.325887452335677,0.33,0.206,1.10081853741836e-10
"Bbip1",5.91961355105787e-23,0.325750220946941,0.276,0.14,9.87865109400538e-19
"Rpl8",4.19400658406902e-11,0.325695765298888,0.944,0.954,6.99895818749438e-07
"Psmb8",0.00041119364459431,0.325360470795805,0.498,0.474,1
"Vps4b",2.23151309426857e-20,0.325138440956349,0.352,0.207,3.7239490517154e-16
"Fam192a",1.70404436950803e-26,0.325086250100215,0.269,0.126,2.84370924383499e-22
"Tmem251",9.37736251250532e-20,0.324699086860724,0.258,0.135,1.56489425608689e-15
"Arrdc1",3.45678426756524e-10,0.324596230353558,0.477,0.374,5.76868158571287e-06
"Aga",4.84174094982006e-11,0.324001601568328,0.256,0.165,8.07989729705972e-07
"Prpsap1",3.58110286732212e-19,0.323659217071812,0.341,0.202,5.97614446498715e-15
"Impdh2",5.20470898842356e-12,0.323575726874776,0.356,0.246,8.68561835988124e-08
"Adam9",7.30163531411228e-16,0.323397207225502,0.306,0.187,1.21849690121906e-11
"Rtf1",8.96804734316626e-12,0.323146009088666,0.452,0.336,1.49658774062759e-07
"Mbd2",1.18885253046629e-20,0.323106851601862,0.269,0.14,1.98395710284214e-16
"Usp3",2.34223260212663e-10,0.323061074307002,0.258,0.168,3.90871776642892e-06
"Mrps21",2.57100735824874e-10,0.32261207213162,0.614,0.542,4.29049707944549e-06
"Ogt",6.39398332823375e-07,0.322195668460406,0.471,0.394,0.0106702793781565
"Efcab14",2.12512678097816e-13,0.322115332022084,0.281,0.174,3.54641157209635e-09
"Saysd1",1.89949889557767e-18,0.322098564750055,0.259,0.141,3.16988375694002e-14
"Prpf38b",1.44021981806523e-13,0.322039906000287,0.346,0.229,2.40343883238726e-09
"Rps25",2.73453546734498e-12,0.32183538883052,0.924,0.907,4.5633927879053e-08
"Fam114a2",1.26604512784355e-17,0.32183160397201,0.304,0.176,2.11277610934531e-13
"Trappc1",6.85754406665398e-16,0.321633344590089,0.414,0.283,1.14438695384322e-11
"Vta1",4.98078582721306e-23,0.321265035330735,0.292,0.153,8.31193538845316e-19
"Rpl36",2.11814314947972e-13,0.320438303147593,0.94,0.915,3.53475728785176e-09
"Psmd1",8.96132229348651e-15,0.32026724354879,0.373,0.255,1.49546546433703e-10
"Ppm1a",2.86891195260704e-29,0.319766316708107,0.275,0.124,4.78764026651063e-25
"Mrpl52",1.52780353138644e-09,0.319521069840731,0.744,0.702,2.54959853317769e-05
"Parva",7.9730196374859e-16,0.319139915266625,0.341,0.217,1.33053751710365e-11
"Faap20",2.41624856568206e-16,0.318594688478365,0.349,0.222,4.03223560641023e-12
"Dnm2",2.39818709616425e-17,0.318548559899913,0.307,0.18,4.0020946260789e-13
"Srsf2",0.001841664871331,0.318532789540252,0.676,0.672,1
"Wwtr1",1.96258183871095e-16,0.31822064552626,0.336,0.207,3.27515657244083e-12
"Elavl1",2.06825363590149e-15,0.31819838236794,0.437,0.305,3.45150166759241e-11
"Rab11b",9.56488475983903e-12,0.317905935424665,0.554,0.463,1.59618796872194e-07
"Dlat",2.19023669773996e-24,0.317213939144787,0.253,0.12,3.65506700118844e-20
"Itga3",8.19686072183162e-24,0.317048683993417,0.264,0.129,1.36789211725926e-19
"Srrm2",6.20237851973567e-08,0.31685723023021,0.767,0.737,0.00103505292737349
"Mad2l2",1.6354217754977e-20,0.316727552279916,0.333,0.188,2.72919185895057e-16
"Ufm1",7.96702259296539e-14,0.316664389453965,0.364,0.25,1.32953673031406e-09
"Wdr74",1.18675511601662e-23,0.316529630694833,0.267,0.132,1.98045693760854e-19
"Senp6",9.87658324177545e-15,0.316519255137931,0.375,0.252,1.64820421138749e-10
"Fus",5.84816256936445e-09,0.316397234991715,0.682,0.642,9.7594136957554e-05
"Mphosph8",2.70787750863566e-12,0.316323603610593,0.315,0.205,4.51890598641119e-08
"Vamp3",1.6783641973655e-16,0.316315277157201,0.34,0.213,2.80085417256355e-12
"Cdh1",3.90989610741352e-07,0.316203637847626,0.586,0.549,0.00652483462405168
"Eif4a2",1.93859005508688e-07,0.316087564374128,0.823,0.828,0.00323511908392898
"Jak1",3.96252241534724e-14,0.31579872479427,0.335,0.219,6.61265740673148e-10
"Ssr4",2.02395984340051e-06,0.315546064111796,0.679,0.661,0.0337758418666678
"Lamtor5",1.19209553105047e-10,0.315480316635748,0.508,0.426,1.98936902221702e-06
"Cdk9",2.77090789712068e-20,0.315280507221962,0.301,0.166,4.624091098715e-16
"Hras",3.27464656354801e-08,0.315142362717314,0.489,0.423,0.000546473018524892
"Cdc5l",1.13243343186653e-18,0.314902467899584,0.31,0.177,1.88980491109887e-14
"Fmr1",7.94783240865765e-16,0.314631396189202,0.285,0.167,1.32633427235679e-11
"Nfkbib",1.53872363298072e-16,0.314603468306084,0.364,0.231,2.56782199871822e-12
"Eif2d",1.71963850758543e-16,0.314057327668076,0.262,0.148,2.86973274145856e-12
"Sgta",5.22892796525607e-17,0.313658102030412,0.386,0.248,8.72603498841933e-13
"Mrpl46",4.92601319034535e-15,0.313491733011352,0.366,0.241,8.22053081204832e-11
"Uqcrb",4.25012316110154e-10,0.313375633916457,0.816,0.789,7.09260553124625e-06
"Banf1",9.79922889365351e-14,0.313373908691421,0.452,0.328,1.6352953177729e-09
"Tpt1",1.9753743231728e-12,0.312964727706257,0.944,0.911,3.29650467051077e-08
"Exosc4",3.76644514876962e-15,0.31294529444087,0.329,0.208,6.28544366426674e-11
"Rassf1",1.46278686083684e-08,0.31280740161319,0.37,0.279,0.000244109871336452
"H2-Q4",1.74642742778097e-08,0.312735396359258,0.458,0.366,0.000291443809148088
"Ndufb4",9.72539289618213e-09,0.312693732727454,0.708,0.658,0.000162297356651487
"Snrpa",2.0868820975063e-15,0.312311987809765,0.329,0.205,3.48258884431852e-11
"Zfp330",7.50739968612028e-20,0.312282866319064,0.255,0.132,1.25283485961975e-15
"Prkrip1",5.3691185784629e-20,0.312203262436472,0.276,0.15,8.95998508373889e-16
"Ndufa13",2.00116792125843e-10,0.31201337978249,0.853,0.87,3.33954902699608e-06
"Naca",5.31866480614585e-11,0.312012236028127,0.895,0.889,8.87578782849619e-07
"Ewsr1",2.41504578171443e-09,0.311984283703671,0.551,0.46,4.03022840052503e-05
"Rps29",3.07006675921805e-15,0.311765149065677,0.972,0.964,5.12332740778308e-11
"Chmp1a",3.41680708800388e-14,0.311591355865491,0.366,0.248,5.70196766846087e-10
"Ddx46",1.53087776766256e-11,0.311176932421617,0.279,0.18,2.55472881867527e-07
"Sart1",2.12961470468555e-19,0.310905920769711,0.25,0.129,3.55390101917924e-15
"Usp39",1.03662205318655e-19,0.310902835768,0.284,0.156,1.72991488235772e-15
"Tiprl",6.52189011779682e-17,0.310809725290194,0.312,0.186,1.08837302285793e-12
"Lims1",6.38462902909628e-13,0.310652874662998,0.298,0.189,1.06546689237559e-08
"Ezr",8.00402925971277e-05,0.310513295910517,0.736,0.75,1
"Atp5l",2.3245042039533e-12,0.310224525246867,0.88,0.862,3.87913261555727e-08
"Nucb1",5.13833105612229e-09,0.310123729827266,0.421,0.33,8.57484686645687e-05
"Tmem60",7.73297726954462e-18,0.310107862408597,0.282,0.161,1.29047924674161e-13
"Pef1",1.27963655396819e-22,0.309944141642143,0.321,0.175,2.13545748126212e-18
"Fam110a",2.34967232688406e-07,0.309376627465286,0.383,0.307,0.00392113317910412
"2310011J03Rik",1.50705368936197e-17,0.309321096620884,0.38,0.241,2.51497119680726e-13
"Prmt1",4.40738904112848e-13,0.309317172692139,0.458,0.349,7.3550508318352e-09
"Tmed9",3.06672954512479e-14,0.309308806981017,0.719,0.664,5.11775826490425e-10
"Klc3",1.12038588689064e-20,0.309099642391323,0.259,0.134,1.86969996804309e-16
"Lrrk1",2.6514662321333e-19,0.308702639680395,0.264,0.138,4.42476684818405e-15
"Dhrs7b",4.11162077514944e-21,0.308514974523501,0.264,0.136,6.86147274956939e-17
"Josd2",2.58234848605537e-16,0.30840324410985,0.301,0.182,4.3094231535292e-12
"Isg20",1.68811693351332e-07,0.308378045771486,0.316,0.239,0.00281712953864703
"2210016F16Rik",5.64457083141227e-10,0.308279308550647,0.426,0.329,9.41965980346079e-06
"Caprin1",9.76194551601328e-13,0.308068402489994,0.4,0.281,1.6290734677123e-08
"Tcf25",8.29093217155611e-12,0.308066080439747,0.58,0.486,1.38359076078928e-07
"Rpl7",2.72134832120959e-13,0.308033192233951,0.931,0.926,4.54138607843456e-09
"Hsd17b11",2.20685979971144e-08,0.307940731647434,0.358,0.276,0.000368280763375844
"Rps27a",2.26706539191194e-09,0.30782424318507,0.946,0.946,3.78327872602264e-05
"Pin1",1.43169083806757e-11,0.307451807574668,0.502,0.395,2.38920567056716e-07
"Ube2e3",5.16660592752123e-08,0.307120964394674,0.427,0.348,0.000862203197184743
"Orai1",3.01413323827894e-11,0.307108088529604,0.349,0.247,5.02998554803989e-07
"Etfa",2.00294720268165e-11,0.306660794978392,0.485,0.38,3.34251829183513e-07
"Tmem126a",2.80569173492175e-16,0.306535263711619,0.324,0.199,4.68213836723742e-12
"Fxr1",6.11301141331295e-19,0.30628341605433,0.301,0.169,1.02013934465366e-14
"Arl1",1.66602613795625e-13,0.30619822839775,0.571,0.467,2.78026441902139e-09
"4833439L19Rik",7.69130027965878e-12,0.306070164338052,0.349,0.244,1.28352419066946e-07
"Gadd45g",0.0451559261534992,0.306003509536018,0.492,0.568,1
"Ift43",1.75037089853012e-14,0.305345890445208,0.349,0.232,2.92101895546706e-10
"Psme3",7.78286667049168e-28,0.305060422417999,0.275,0.128,1.29880478997165e-23
"Akirin1",1.12419666358365e-16,0.304258383927575,0.326,0.195,1.8760593921884e-12
"Nabp2",3.13423859251496e-17,0.304247073241613,0.313,0.187,5.23041736318896e-13
"Tap1",3.83022420367447e-26,0.304202389206499,0.255,0.116,6.39187815109196e-22
"Dpm1",9.6866795220474e-17,0.303780823987332,0.259,0.143,1.61651307863927e-12
"Mrpl34",1.53521301878788e-09,0.303624166592954,0.437,0.351,2.56196348575322e-05
"Pitpnb",1.51348141939618e-20,0.303427959072565,0.293,0.159,2.52569779268834e-16
"Wdr61",0.000109315524060594,0.303131774089728,0.469,0.412,1
"Cyb5r4",5.06761377775349e-22,0.303090343077859,0.287,0.151,8.45683387231503e-18
"Ubqln1",1.4757891816275e-10,0.302890658320197,0.353,0.255,2.46279698629997e-06
"Nubp1",2.82534671198475e-15,0.30255718685422,0.39,0.263,4.71493859296016e-11
"Rnf115",2.27254239077331e-13,0.302521059939327,0.356,0.235,3.7924187417225e-09
"Csnk2a1",2.24023361992275e-16,0.302405534947644,0.318,0.191,3.73850186492708e-12
"Llgl2",9.67731748759719e-19,0.301874153789367,0.267,0.143,1.61495074233022e-14
"Tmem128",5.6232733632083e-21,0.301825293707891,0.384,0.234,9.38411858852201e-17
"Tsr3",1.2785642099565e-12,0.301741557561765,0.272,0.17,2.13366795357541e-08
"Celf2",4.31318810198406e-20,0.301636227603564,0.34,0.197,7.197848304591e-16
"Vcl",1.39153492498588e-14,0.301375773466099,0.293,0.179,2.32219348281644e-10
"Wdr1",2.80702007330266e-10,0.301257347441691,0.42,0.321,4.68435509832748e-06
"Anp32a",2.42364849609582e-07,0.300860941162598,0.656,0.623,0.0040445846102847
"Eif3i",1.32581115714794e-07,0.300663471602415,0.571,0.515,0.00221251365904848
"Mrps18c",1.74824643170141e-12,0.300611786812696,0.474,0.361,2.91747364522332e-08
"Ap3s1",7.54297804860131e-15,0.300583255476109,0.347,0.23,1.25877217675059e-10
"Snrpb2",5.65357154484614e-14,0.300474612867598,0.313,0.198,9.43468019403923e-10
