"test_ligand"	"auroc"	"aupr"	"pearson"	"rank"
"81"	"Npnt"	0.580505929190469	0.085510353505466	0.05986505468089	81
"82"	"Calm1"	0.579995983991406	0.0897339242171685	0.0590783937163665	82
"83"	"Arf1"	0.572426416276871	0.0858488093323154	0.057219670520585	83
"84"	"Hc"	0.593072520393583	0.0918721331240477	0.0570666745905605	84
"85"	"Rps19"	0.570651157932243	0.085954698365803	0.0568986468179656	85
"86"	"Nucb2"	0.566598133096881	0.0869949522975088	0.0563723765731839	86
"87"	"Dusp18"	0.569282909212852	0.0849082920812508	0.0550937484950551	87
"88"	"Nenf"	0.565812002794981	0.0856900575928833	0.0550919556346214	88
"89"	"Bmp5"	0.578003529895773	0.0849124335614469	0.0545337199124398	89
"90"	"Rtn4"	0.571200654731098	0.0869219841056535	0.0538521929549415	90
"91"	"Gdnf"	0.562814870454989	0.0854792579442602	0.0529009864616431	91
"92"	"Gpi1"	0.571912752551333	0.0843937164540354	0.0526755368903508	92
"93"	"Aimp1"	0.567556160736351	0.0849295831996181	0.0517349338811136	93
"94"	"Hsp90b1"	0.565747266629504	0.0850215889321848	0.0511542348745979	94
"95"	"Manf"	0.560269708105814	0.0833660587135885	0.0508866396475448	95
"96"	"Cd200"	0.570261726795803	0.0816789069837443	0.0505200977750511	96
"97"	"Ptprm"	0.560789118644996	0.0833732886446254	0.0483317498077007	97
"98"	"Adam9"	0.560017017329348	0.0833479350005056	0.0472620886716488	98
"99"	"Edn1"	0.579796704777057	0.0888311342585089	0.0458317077404094	99
"100"	"Hmgb2"	0.584328912456083	0.0913871863884163	0.0457367129435192	100
"101"	"Psap"	0.5457691450871	0.0841309890541821	0.0456953373493416	101
"102"	"Cyr61"	0.555372408736374	0.0828245752823047	0.0429043356487342	102
"103"	"Adam15"	0.550794564596046	0.0831662971632973	0.04058324388685	103
"104"	"App"	0.579081902573932	0.0884833956564027	0.0350356376281295	104
"105"	"Hdgf"	0.564082380911655	0.0829468353940611	0.0331013216563456	105
"106"	"Clstn1"	0.533746641917056	0.0784410926168784	0.0297050968805869	106
"107"	"Jag1"	0.57037852233195	0.0819234667742249	0.0231561587678181	107
"108"	"Cadm1"	0.548015811174578	0.0786105865019647	0.0213468430852447	108
"109"	"Ptdss1"	0.527308013323142	0.0738186069194031	0.0193429842869828	109
"110"	"Calr"	0.569533740726079	0.082694968970694	0.0178246302024666	110
"111"	"Mif"	0.568877758850853	0.0768028449542572	-0.0216802368694356	111
