"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Agrn",8.88413828292428e-126,1.28595601843949,0.374,0.116,1.4825849966544e-121
"Id3",7.25809526710382e-74,1.27672812706654,0.355,0.153,1.21123093817429e-69
"Mmp11",3.5159790442741e-135,1.2740836782495,0.34,0.071,5.86746582908462e-131
"Sptbn1",8.86585867218079e-100,1.27394619754889,0.667,0.589,1.47953449521353e-95
"Arhgef26",4.01826779037421e-121,1.27111296363439,0.346,0.107,6.70568528857647e-117
"Myh14",8.00539639803719e-93,1.25296825291838,0.593,0.467,1.33594055090445e-88
"Epb41l5",5.19418006088029e-85,1.24464376785149,0.466,0.326,8.66804768559702e-81
"Thbs3",1.53379483508464e-89,1.23910325279517,0.42,0.228,2.55959682078924e-85
"Gipc2",8.09725256754568e-119,1.23481773674894,0.363,0.12,1.35126950847202e-114
"Zfyve21",4.71615832977072e-98,1.21118946774397,0.405,0.208,7.87032502072138e-94
"2810474O19Rik",1.69823520533239e-68,1.21049077576853,0.498,0.381,2.83401491065869e-64
"Flrt3",5.08535367092096e-108,1.21047838197118,0.315,0.092,8.4864382060329e-104
"Myl12a",1.65347657276423e-94,1.19513571678622,0.855,0.908,2.75932170462895e-90
"Tead1",7.66822690547943e-108,1.18993430587307,0.371,0.146,1.27967370598641e-103
"Hck",6.08074491560388e-184,1.18891525705634,0.284,0.012,1.01475471151598e-179
"Nbeal1",1.0592490849577e-72,1.18628590494677,0.521,0.411,1.76767487297742e-68
"Eps8l2",1.47337706409436e-94,1.18505050766157,0.413,0.193,2.45877164456067e-90
"Aqp5",6.4057713348298e-82,1.17469056930489,0.861,0.904,1.0689951203564e-77
"S100a14",6.4114301758473e-73,1.16908322226368,0.297,0.106,1.0699394677454e-68
"Ier3",1.79717767453027e-45,1.16880180464052,0.556,0.562,2.99913010325612e-41
"Galnt18",2.66708949140472e-96,1.1673759229173,0.359,0.15,4.45083894325619e-92
"Serpinb9",2.59401216236797e-56,1.1635046726355,0.493,0.408,4.32888749655967e-52
"Tspan8",1.92452394208437e-64,1.16257222112945,0.534,0.458,3.2116455545504e-60
"Ptpre",6.12759503502399e-148,1.15915805064547,0.276,0.023,1.0225730594448e-143
"Cystm1",3.64303522299752e-72,1.15841986668861,0.804,0.842,6.07949718013827e-68
"Akap13",1.52758211309169e-70,1.14689046323729,0.536,0.436,2.54922903032741e-66
"Sphk1",3.81917671809755e-124,1.13684675100936,0.257,0.036,6.37344210716119e-120
