"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Mtpn",1.94087194657713e-26,0.455022955939274,0.825,0.707,3.24960190015408e-22
"Ier2",2.09352295263636e-26,-1.1655896745999,0.587,0.734,3.50518547959905e-22
"Diaph1",2.35924355585009e-26,0.47261863520028,0.76,0.638,3.95008148555981e-22
"Eif3h",2.97261795519229e-26,-0.357743663896104,0.755,0.875,4.97705424237845e-22
"Atp5mpl",3.65234303156308e-26,0.390308388465494,0.908,0.865,6.11511793774606e-22
"Rps8",3.72731680930823e-26,-0.252717251802657,0.993,1,6.24064653382477e-22
"Hspa9",3.75455604859938e-26,0.452885242367832,0.703,0.538,6.28625319216995e-22
"Comt",3.92662172204332e-26,-0.402024703051787,0.385,0.572,6.57434274921712e-22
"Ccr5",5.5092364710399e-26,0.390522256962091,0.929,0.861,9.2241146234621e-22
"Ranbp1",5.75655264138542e-26,0.416494536463161,0.74,0.61,9.63819608747161e-22
"Ndufb7",8.19901566369816e-26,0.366293094829896,0.863,0.827,1.37276119257298e-21
"Rab5c",8.2611953040553e-26,0.37117953193928,0.867,0.797,1.38317192975798e-21
"Tnfaip2",1.39772088293918e-25,0.664318225009375,0.647,0.452,2.34020407430507e-21
"Septin7",1.46819116518781e-25,0.387745730778435,0.728,0.544,2.45819246787395e-21
"Rps27l",1.56126486303002e-25,0.4037620716867,0.925,0.906,2.61402576017116e-21
"Soat1",1.78600261576987e-25,0.476781409449073,0.793,0.662,2.9903041795835e-21
"Ube2a",1.95988928160439e-25,0.422505669418939,0.658,0.496,3.28144262419023e-21
"Myl6",2.28823853472513e-25,0.295701345042691,0.984,0.984,3.83119777869029e-21
"Rpl13a",2.30707184156835e-25,-0.406090144618088,0.667,0.79,3.86273038433789e-21
"P4hb",2.73834933789842e-25,0.441695393123871,0.78,0.651,4.58481829644332e-21
"Ckap4",3.11656100615737e-25,0.458791985307483,0.407,0.227,5.21805809260928e-21
"Lrrc8c",4.25054334639725e-25,0.402418191087495,0.445,0.256,7.11668472487292e-21
"Dock8",5.33807370202166e-25,-0.363049296064403,0.444,0.637,8.93753679929487e-21
"Cd40",5.66571587379596e-25,0.595100374684508,0.499,0.318,9.48610808749657e-21
"Pcbp1",5.72826788397198e-25,0.387446336794503,0.907,0.851,9.59083891813428e-21
"Slfn4",6.91618413703104e-25,0.61085865428699,0.308,0.143,1.15797671006311e-20
"Bax",1.71985381387622e-24,0.442081646954223,0.8,0.715,2.87955124057296e-20
"Cd36",1.89598332523142e-24,0.976877059387381,0.4,0.221,3.17444488143497e-20
"Ube2l3",2.14317954182815e-24,0.365344942030555,0.829,0.771,3.58832550688287e-20
"Dusp1",2.47883274393224e-24,-0.797590672464135,0.974,0.989,4.15030966316574e-20
"Cfb",3.1124973741396e-24,0.385325590216459,0.392,0.212,5.21125435352194e-20
"Rpl18",3.12039363095753e-24,-0.275333198151051,0.974,0.993,5.2244750563122e-20
"Arhgef6",3.15859490406003e-24,-0.346647073393811,0.254,0.45,5.28843544786771e-20
"Ddx5",3.16118107746544e-24,-0.298671765756543,0.974,0.992,5.29276547800039e-20
"Itgb5",3.25419202891763e-24,-0.382825486529324,0.71,0.838,5.44849371401679e-20
"Parp12",3.45212547847284e-24,0.361837013222349,0.477,0.288,5.77989368860707e-20
"Psmd8",4.45759420571995e-24,0.441209469687067,0.756,0.668,7.46334997863691e-20
"Tmcc3",4.73699893261901e-24,-0.364615733822593,0.298,0.508,7.93115731288401e-20
"Rab11a",4.97402354625609e-24,0.432180714994132,0.732,0.594,8.32800762349657e-20
"B4galt1",5.07253450864921e-24,0.495435003769542,0.672,0.496,8.49294452783138e-20
"Zfp36",5.37140962989606e-24,-0.814576626544954,0.976,0.985,8.99335114333498e-20
"Atp5k",6.37183879104068e-24,0.37448692336715,0.863,0.81,1.06683696878394e-19
"Psmb8",6.53915703578213e-24,0.400861136255647,0.902,0.922,1.094851062501e-19
"Rai14",7.76880027272291e-24,0.38347748709308,0.31,0.143,1.300730229662e-19
"Arrdc4",7.88278659999345e-24,0.392877204625559,0.418,0.23,1.3198149604369e-19
"Helz2",9.28302439197506e-24,0.318308413110951,0.289,0.129,1.55425677394838e-19
"Srxn1",1.00180640671424e-23,0.456556814573781,0.39,0.215,1.67732446676165e-19
"Dazap2",1.01955187113825e-23,0.378071512354421,0.961,0.932,1.70703569784677e-19
"Gba",1.02314765836328e-23,0.393798050510322,0.518,0.336,1.71305612439764e-19
"Rpl24",1.20395092936966e-23,-0.299364886023613,0.975,0.996,2.01577504104362e-19
"Sh2d1b1",1.27686941682946e-23,-0.284366921418403,0.103,0.274,2.13786246459756e-19
"Dmxl2",1.73296881431785e-23,0.492285673703541,0.433,0.262,2.90150968581237e-19
"Mapk14",2.01801304475314e-23,-0.33531659022652,0.376,0.562,3.37875924083018e-19
"Ezr",3.21200121924524e-23,0.488750605737102,0.728,0.592,5.37785364138231e-19
"Atp2a2",3.49921629567519e-23,0.441610778806146,0.687,0.542,5.85873784384897e-19
"Ndufb6",3.62875564767198e-23,0.393329474871871,0.697,0.547,6.0756255808972e-19
"Timp2",5.1124749848875e-23,-0.448879680291436,0.61,0.773,8.55981686719714e-19
"Eif4a1",6.01711026042749e-23,0.353603962476503,0.938,0.941,1.00744477090337e-18
"Fnbp1",7.64880515896429e-23,-0.357041723530858,0.462,0.643,1.28063944776539e-18
"Herc6",8.20242140499965e-23,0.408158628395672,0.4,0.231,1.37333141583909e-18
"Higd2a",8.20668016299317e-23,-0.318589301351461,0.375,0.563,1.37404445968995e-18
"Pink1",8.92177065516521e-23,-0.262117186580107,0.091,0.25,1.49377206079431e-18
"Pira2",1.00827544999934e-22,0.40180471588914,0.462,0.28,1.6881555859339e-18
"Psmd11",1.19701947666969e-22,0.390117338164912,0.631,0.452,2.00416970978807e-18
"St8sia4",1.21671075715526e-22,-0.420418617049284,0.297,0.494,2.03713882070505e-18
"Manf",1.23816283834409e-22,0.509409098855607,0.821,0.754,2.07305604023951e-18
"H13",1.40626154986235e-22,0.371902910456922,0.72,0.565,2.35450371293453e-18
"Rbm8a",1.41785803630523e-22,0.344989195993503,0.757,0.634,2.37391971018585e-18
"Egr1",1.4775943560603e-22,-1.49009686905455,0.303,0.47,2.47393623035176e-18
"Serpina3g",1.56051775771575e-22,0.626166696504891,0.382,0.219,2.61277488174348e-18
"Hnrnpm",1.60410367447592e-22,0.370542397072346,0.855,0.752,2.68575078217502e-18
"Atp6v0c",1.6477869768246e-22,0.31990399670647,0.982,0.992,2.75888973529742e-18
"Lst1",1.8557360261553e-22,-0.386329139529339,0.885,0.959,3.10705882859182e-18
"Cd72",1.88959871627664e-22,-0.580198598567908,0.679,0.819,3.16375513066198e-18
"C3",2.01678493394873e-22,0.54962060571829,0.731,0.564,3.37670301491037e-18
"Tmem30a",2.1020026441332e-22,0.389524195149062,0.695,0.536,3.51938302707221e-18
"Selenot",2.46036359599604e-22,0.386980372092689,0.782,0.639,4.11938676877617e-18
"Slc35b1",2.47249617406677e-22,0.358340422913159,0.47,0.302,4.13970034423999e-18
"Smpdl3a",2.62995190188455e-22,0.506803443650849,0.685,0.547,4.4033284693253e-18
"Coa5",2.87893007010602e-22,0.392011132664782,0.58,0.412,4.82019261637851e-18
"Hnrnpab",3.3091723366601e-22,0.37657835940852,0.833,0.728,5.54054724327e-18
"Septin9",4.03845032412819e-22,0.366239432501537,0.535,0.349,6.76157737768783e-18
"Eif4e",4.27294933604991e-22,0.438802492110603,0.731,0.566,7.15419907334836e-18
"Tmed2",4.3620488940935e-22,0.365080531241466,0.874,0.791,7.30337846338075e-18
"Ptbp3",4.94187232448186e-22,0.349950062453229,0.923,0.844,8.27417683287999e-18
"Cd180",5.25158990637811e-22,0.418875657669998,0.663,0.5,8.79273698024887e-18
"Igtp",6.13294318138668e-22,0.398987782727761,0.498,0.318,1.02683867685957e-17
"Cmpk1",6.3154619663492e-22,0.398559108457101,0.826,0.722,1.05739779702585e-17
"Lrmp",6.7115479988256e-22,-0.285407381085644,0.158,0.336,1.12371448144337e-17
"Usp18",7.8162692317012e-22,0.341273166034588,0.284,0.131,1.30867795746373e-17
"Atp6v1e1",8.16355852874775e-22,0.40004999073433,0.817,0.73,1.36682460446824e-17
"Rps27rt",9.04900182632074e-22,-0.453075223123099,0.261,0.431,1.51507437578088e-17
"Socs3",1.03959406115382e-21,-0.77936008952774,0.718,0.825,1.74059233658983e-17
"Cd48",1.05401271569439e-21,-0.356432733909488,0.681,0.794,1.76473348988712e-17
"Ccdc71l",1.07599986420556e-21,0.413664013228784,0.509,0.331,1.80154657263936e-17
"Creld2",1.19036144099514e-21,0.489401744728434,0.45,0.283,1.99302216065816e-17
"Emb",1.25181527286321e-21,0.461603500821357,0.605,0.444,2.09591431135487e-17
"Tmem189",1.37402857487373e-21,0.400952558808286,0.682,0.536,2.30053604291108e-17
"Gna12",1.67948795772631e-21,-0.378150799551675,0.438,0.618,2.81196668762116e-17
"Foxn3",1.82772450522773e-21,-0.355580938712536,0.411,0.592,3.06015913910279e-17
"Abracl",1.93684185040431e-21,0.363464072775979,0.866,0.832,3.24285431013194e-17
"Rps2",2.22144117521692e-21,-0.301417780216037,0.943,0.981,3.7193589596657e-17
"Lsm12",2.22998347717868e-21,0.354510527801626,0.685,0.533,3.73366133584026e-17
