"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Irs2",2.66344696952082e-93,0.523119311846704,0.432,0.304,4.44476030273634e-89
"Nrp1",9.27936384049293e-109,0.519683341518856,0.771,0.62,1.54854023770146e-104
"Jun",3.68863275567237e-112,0.509414463260641,0.944,0.856,6.15559034266605e-108
"H2-Ab1",6.36171105665967e-230,0.509375129024758,0.972,0.81,1.06164234113537e-225
"Arhgef38",1.09459006939558e-99,0.504337930614801,0.361,0.229,1.82665190780735e-95
"Nucb2",2.50608965697517e-82,0.491879675621632,0.529,0.428,4.18216241956016e-78
"Acot1",9.73938476822033e-85,0.48565458893387,0.57,0.45,1.62530853012061e-80
"Herpud1",6.64294172822664e-86,0.485212422715567,0.641,0.528,1.10857411560646e-81
"Spry2",1.7229312239728e-41,0.48436954590497,0.442,0.376,2.8752276265658e-37
"S100g",1.72850838546405e-192,0.484097215002033,0.932,0.756,2.8845347936624e-188
"Exosc7",2.49511237196181e-90,0.480775461420306,0.73,0.622,4.16384352632987e-86
"Anpep",4.79247790446388e-95,0.477601997295325,0.367,0.233,7.99768712696932e-91
"Gadd45a",1.14611002248243e-77,0.475793576120348,0.618,0.515,1.91262840551868e-73
"Slc31a1",3.98791722594756e-75,0.469269592348647,0.547,0.46,6.65503626666129e-71
"Oat",3.47140354447472e-123,0.466273138292666,0.856,0.715,5.79307823501942e-119
"Grb14",6.17741928898229e-75,0.465090548328728,0.582,0.481,1.03088773094536e-70
"Snx25",1.58810243021196e-76,0.456043663759486,0.399,0.293,2.65022533553772e-72
"Sord",3.305214198815e-98,0.455475158024552,0.346,0.212,5.51574145498248e-94
"Sgms1",6.23970335303129e-67,0.45476296991814,0.537,0.448,1.04128169555386e-62
"Rhob",1.25380009293872e-67,0.452218718112173,0.549,0.44,2.09234159509614e-63
"Ctnnb1",5.48034609079513e-92,0.452108700665335,0.865,0.766,9.14560155631892e-88
"Scgb1c1",3.08298388802593e-81,0.450912930223982,0.388,0.26,5.14488351233768e-77
"Cmtm8",3.96294932517381e-80,0.449836207144764,0.676,0.571,6.61336983385005e-76
"Fam46a",5.93432229927734e-72,0.445557936848673,0.289,0.183,9.90319705303402e-68
"Lmo4",7.81153305245393e-68,0.441204552606463,0.661,0.574,1.30358863579351e-63
"H2-Eb1",1.01255825676212e-139,0.439301756665321,0.897,0.724,1.68975721888463e-135
"Jund",5.13037998736618e-136,0.437823449574361,0.981,0.936,8.56157812291668e-132
"Elovl1",9.45987157191344e-221,0.437535918200529,0.972,0.812,1.57866336792091e-216
"Sdc4",1.01711505370552e-82,0.431973410743877,0.911,0.828,1.69736160162377e-78
